项目简称,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01
贝因美,173646.6495321624,156282.34554262052,13809.407619136902,-283409.1930754376,179624.9811216093,180618.7543622266,-54245.764850047795,-186600.0157899323,-31613.954802315682,446462.01530754333,124173.85114530868,94027.26801499558,136073.80584728887,-433880.803648641,-247809.27514959354,-6731.467585938648,355678.5833458323,-500247.2913365272,-127442.09984533538,-14566.0999294465,311829.82212827296,-284549.6301658694,1123589.3795933246,-778806.5572310009
辉山,,,,,,,,,,,,,0.0,36381.619257995495,14202.4415698992,-2841.06746361177,26585.5174196823,12644.8567853399,28278.652616717998,76939.06955893639,212989.748375389,48222.8691699871,54050.5722697783,236701.610521441
达能,1299.64868912335,2544.74396439482,7411.43878810582,-11287.9095261945,-4489.96599999996,577.2238498737149,10551.7538275226,-14657.1960277364,-4874.48630265593,-23364.448786790897,26966.5752469266,-134183.75538666302,-63162.7071899514,-11053.964928233201,-56839.803920323604,-3515.91296636528,-1915.34202341286,-207512.93106083013,603015.7455403706,665444.2913985183,2082288.1965960576,714482.6364902713,1447413.7478475706,3479423.675583524
金佰利,55903.36904143785,-153087.80749991757,165685.16531278339,24757.4437532374,163611.5265529931,238057.30257038033,63801.91415492101,226063.49871741908,-212881.41423909192,51286.12404737678,144034.60653589808,651340.6579825355,200495.33883413862,-238360.73618603178,468177.57454611297,206535.29495701165,13150.401568601315,271552.7327893015,292533.4113584917,217181.25460210824,-286677.1192163858,-290036.91850199795,-397125.19440389174,-364323.5092122099
金王,-6109.193230508146,2312.1746792895688,12408.67726050673,-6699.46878366567,-1617.609916231513,-37867.32002805477,-8844.1432,-10256.30778104137,-3299.083250531788,18737.9555629801,-6974.241519999969,12682.976321751941,22251.646559768506,-45561.42481064831,32709.9905151823,-2235.556110545889,-14833.1014174975,-56788.9263851596,-2361.08235295818,-6383.09658424695,-21141.699054909197,-4210.58251696108,-8171.88942709217,-4397.29
雀巢,455408.0712955027,7897.4353980171145,138619.43083560257,-45276.65765226129,84661.58009458099,33867.724710409195,-25482.428135719398,22293.49431089423,208110.5478068606,477239.3276464981,8429.64482943368,-613880.3271832898,84058.35291830328,12220.54437428511,102433.15963759912,46013.00294093262,26468.94073926248,31963.55007813178,-144419.9376500569,6244.446920989739,-10643.625439397883,57723.650406051325,-109103.32078421621,-287108.45388450514
雀氏,-702.67,-166.109425496732,2122.581763298234,-19611.058543307314,-4248.73492680625,1359.2531574973195,-9537.420410052022,-3047.74309433702,-1074.449990331668,-11929.750502257539,13793.272084468088,-6598.736246943258,-8389.74412486743,-5155.90028838209,5879.067513385411,4711.30800392061,-13809.080748974111,-38643.43006174995,-13304.06950335776,-19745.106421583572,-49221.986878046875,-9730.11012468872,-21371.26822095636,-5119.9795142373505
雅培,-218029.97888456428,-225202.76066065844,56006.733315174046,-351220.2049452353,-37968.151737432716,-222290.2746987467,408046.88214584516,-158448.68378591374,461316.20468166255,-136248.29054132523,419000.4449977651,-103195.110226384,-317658.8500620802,-318705.13150780986,424247.36540292646,439216.3889267132,165662.67692800995,-460820.4520841204,-204386.28681883874,-514860.1199652697,77858.2693624177,140090.1813977233,-88535.55676404614,-121482.27173816515
雅士利,89329.1679682768,115748.74278156871,-43528.98110093447,111860.3026694742,60302.67243316311,52881.566589342394,-4748.185642991627,65259.8606764106,12508.749115205479,-37501.903111018284,-45563.83627428675,-12606.819541571742,432611.6611624153,231064.9404191103,84499.08566791152,263567.9340016795,-117915.78093505766,30088.15635808084,-51430.5205079972,-81966.38218234657,21434.111847982924,-353669.9614567885,-409259.58954904415,936444.6508916466
露安适,,,,,,,,,,,-228.76,3205.15995319149,8372.29403182598,6151.93470880659,-10734.9440425532,-26196.725826163798,-4159.13029119911,3729.88073983145,3734.55132638067,10098.6247102497,5492.16432696686,11707.357908548602,5536.85428541656,20912.1918587666
领瑞,,,,,,1618.5696,441.7385030078231,-21379.9125595003,66688.4197837613,-7100.61682253385,-4423.45589082831,17922.408182106697,-193.089892437311,3324.6250535894605,92926.5866246263,-10964.0543905537,123257.212879739,-67642.7300766202,-42456.9042397915,-21801.1249286878,23445.1955144284,-22849.9699634167,148152.331041692,14529.628149295
飞鹤,-101100.8373235754,-24118.6543924737,-140777.8179900505,-43208.3823729289,-57484.99374889191,112878.28092582131,-68890.8596114921,65212.696178670696,28794.971462801528,15066.566770895959,-16693.427850631695,-93115.8619191146,-43185.479868936905,-1975.3417390155992,-7354.500779604168,-34201.623152631604,-114904.95326732751,-156615.31499386253,-102217.94655320229,-38456.107014526235,-34865.1870647012,-277.0306905163634,140543.95135295604,-59130.79579403777
